dataset,model,explainer,n_instances,n_successful,success_rate,mean_time_s,total_time_s,validity,validity_soft,proximity_dtw,sparsity,plausibility_lof,plausibility_if,plausibility_dtw_lof,diversity_dpp,diversity_dpp_dtw,contiguity,controllability,mean_n_segments,mean_avg_segment_len,composition,mean_conf_orig,mean_conf_cf,mean_conf_delta,robustness_lipschitz,robustness_lipschitz_dtw,efficiency_time_s,validity_q1,validity_soft_q1,proximity_dtw_q1,sparsity_q1,plausibility_lof_q1,plausibility_if_q1,plausibility_dtw_lof_q1,diversity_dpp_q1,diversity_dpp_dtw_q1,contiguity_q1,controllability_q1,mean_n_segments_q1,mean_avg_segment_len_q1,composition_q1,mean_conf_orig_q1,mean_conf_cf_q1,mean_conf_delta_q1,robustness_lipschitz_q1,robustness_lipschitz_dtw_q1,efficiency_time_s_q1,validity_q2,validity_soft_q2,proximity_dtw_q2,sparsity_q2,plausibility_lof_q2,plausibility_if_q2,plausibility_dtw_lof_q2,diversity_dpp_q2,diversity_dpp_dtw_q2,contiguity_q2,controllability_q2,mean_n_segments_q2,mean_avg_segment_len_q2,composition_q2,mean_conf_orig_q2,mean_conf_cf_q2,mean_conf_delta_q2,robustness_lipschitz_q2,robustness_lipschitz_dtw_q2,efficiency_time_s_q2,validity_q3,validity_soft_q3,proximity_dtw_q3,sparsity_q3,plausibility_lof_q3,plausibility_if_q3,plausibility_dtw_lof_q3,diversity_dpp_q3,diversity_dpp_dtw_q3,contiguity_q3,controllability_q3,mean_n_segments_q3,mean_avg_segment_len_q3,composition_q3,mean_conf_orig_q3,mean_conf_cf_q3,mean_conf_delta_q3,robustness_lipschitz_q3,robustness_lipschitz_dtw_q3,efficiency_time_s_q3,validity_q4,validity_soft_q4,proximity_dtw_q4,sparsity_q4,plausibility_lof_q4,plausibility_if_q4,plausibility_dtw_lof_q4,diversity_dpp_q4,diversity_dpp_dtw_q4,contiguity_q4,controllability_q4,mean_n_segments_q4,mean_avg_segment_len_q4,composition_q4,mean_conf_orig_q4,mean_conf_cf_q4,mean_conf_delta_q4,robustness_lipschitz_q4,robustness_lipschitz_dtw_q4,efficiency_time_s_q4,seed
ArrowHead,timecnn,ng_blend_dtw,12,12,1.0,20.046665552004324,240.5599866240519,0.4166666666666667,0.09200609475374222,0.6173014491053076,0.9956839309428952,0.9166666666666666,0.8333333333333334,1.0,0.6189116207099861,0.18515825472920497,0.9920318725099605,0.0,2.0,195.18809523809523,97.59404761904761,0.6800445914268494,0.5826790928840637,-0.09736541658639908,1.2703065346039093,1.0449118163037001,20.046665552004317,1.0,0.1989278793334961,0.8536737656124073,0.9893758300132802,1.0,1.0,1.0,0.6330509742655885,0.07844335469882179,0.9867197875166003,0.0,3.3333333333333335,136.95238095238093,41.08571428571428,0.511457622051239,0.6292081475257874,0.11775056272745132,1.1539865718038091,1.0449118163037001,0.47956501397614676,0.6666666666666666,0.16909651458263397,0.6536290372598116,0.9933598937583001,1.0,0.6666666666666666,1.0,0.7115359964249023,0.1636911317436369,0.9893758300132802,0.0,2.6666666666666665,141.79999999999998,53.175,0.6097144484519958,0.5682077407836914,-0.04150668904185295,1.2703065346039093,0.9758738850267165,13.33358562499052,0.0,0.0,0.428866005779172,1.0,0.6666666666666666,0.6666666666666666,1.0,0.620867844001857,0.3430288183813472,0.9960159362549801,0.0,1.0,251.0,251.0,0.7429344058036804,0.556266725063324,-0.18666763603687286,0.660033474963652,0.4701327054258934,31.08615645803123,0.0,0.0,0.5330369877698397,1.0,1.0,1.0,1.0,0.5246622575564656,0.26684581563277354,0.9960159362549801,0.0,1.0,251.0,251.0,0.8560718894004822,0.577034056186676,-0.27903780341148376,0.5589918664698788,0.4123694994893018,35.28735511101937,0
ArrowHead,timecnn,comte_dtw,12,12,1.0,0.655560312414309,7.866723748971708,1.0,0.483724445104599,0.4527026555265478,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.7331038922010298,0.3974465467697813,0.9960159362549804,0.0,1.0,251.0,251.0,0.6800445914268494,0.7620412707328796,0.08199664950370789,1.7758134853750942,2.130385706723445,0.655560312414309,1.0,0.2896198034286499,0.4539663129619102,1.0,1.0,1.0,1.0,0.7117467941943989,0.4001909641216373,0.9960159362549801,0.0,1.0,251.0,251.0,0.511457622051239,0.7199000716209412,0.20844246447086334,1.038005481759463,2.130385706723445,0.7654873333328093,1.0,0.4623481333255768,0.49354462077389893,1.0,1.0,0.6666666666666666,1.0,0.7722334519092754,0.4105502950591129,0.9960159362549801,0.0,1.0,251.0,251.0,0.6097144484519958,0.8100648522377014,0.20035044848918915,1.7758134853750942,1.090913535858718,0.6314723886704693,1.0,0.49208298325538635,0.3936269821458264,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7018569187910575,0.4062899101328698,0.9960159362549801,0.0,1.0,251.0,251.0,0.7429344058036804,0.7385280132293701,-0.004406312946230173,0.6740027432274818,0.4975037730273555,0.5301286109800761,1.0,0.690846860408783,0.46967270622455587,1.0,1.0,1.0,1.0,0.748754396165775,0.3738051044852058,0.9960159362549801,0.0,1.0,251.0,251.0,0.8560718894004822,0.7796719670295715,-0.07639990001916885,1.196618275486468,2.151719957208333,0.6951529166738813,0
ArrowHead,timecnn,sets,12,12,1.0,1.2265942079975503,14.719130495970603,0.9166666666666666,0.317569762468338,0.5304106842992309,0.4628154050464808,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.04693126459235031,0.02409916995496903,0.9960159362549804,0.0,1.0,116.16666666666667,116.16666666666667,0.6800445914268494,0.6219072341918945,-0.058137327432632446,2.591103104822977,2.1966322674741607,1.2265942079975503,1.0,0.15227212011814117,0.627495734213508,0.2749003984063745,1.0,0.6666666666666666,1.0,0.445976511131135,0.25948877142784904,0.9960159362549801,0.0,1.0,69.0,69.0,0.511457622051239,0.5825523734092712,0.07109478861093521,1.1761558912222894,1.6449275526108145,0.7175257220126999,1.0,0.23457951843738556,0.6197950465329837,0.3200531208499336,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.20676048726062365,0.13315414711103607,0.9960159362549801,0.0,1.0,80.33333333333333,80.33333333333333,0.6097144484519958,0.5822962522506714,-0.027418196201324463,1.632590292353523,1.0374853062041776,0.9917798189950796,0.6666666666666666,0.333420991897583,0.41318748509424247,0.6122177954847278,0.6666666666666666,0.3333333333333333,0.6666666666666666,7.523354857089643e-06,7.523354857089643e-06,0.9960159362549801,0.0,1.0,153.66666666666666,153.66666666666666,0.7429344058036804,0.683948814868927,-0.05898553133010864,1.3753466630932494,1.086041151868779,1.901627457991708,1.0,0.5500063896179199,0.4611644713561895,0.6440903054448871,1.0,0.6666666666666666,1.0,0.5728753056957101,0.17683279209581954,0.9960159362549801,0.0,1.0,161.66666666666666,161.66666666666666,0.8560718894004822,0.6388314962387085,-0.2172403484582901,2.7896449699587667,3.454138804273477,1.2954438329907134,0
ArrowHead,timecnn,tsevo_authentic,12,12,1.0,2.7592647848311267,33.11117741797352,1.0,0.23051713407039642,0.4536208418468514,0.05544488711819389,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.6805013653814802,0.49649125820718565,0.9903718459495354,0.0,2.4166666666666665,6.0055555555555555,2.485057471264368,0.6800445914268494,0.5088338851928711,-0.1712106466293335,2.6448230723942996,4.3740611847316515,2.7592647848311267,1.0,0.06462930887937546,0.7576202121135114,0.03187250996015936,1.0,1.0,1.0,0.4272529644414414,0.25353095220444494,0.9920318725099602,0.0,2.0,4.0,2.0,0.511457622051239,0.4949095547199249,-0.016548017039895058,1.0589439891044234,1.0942334378602978,3.042798166667732,1.0,0.15617133677005768,0.4995411717826319,0.041168658698539175,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6185939298475823,0.3953246147890183,0.9920318725099602,0.0,2.0,5.166666666666667,2.5833333333333335,0.6097144484519958,0.5038880705833435,-0.10582637041807175,1.0710612952554388,1.2644700890800111,2.9880811253290935,1.0,0.2752019166946411,0.3054239370511412,0.07835325365205843,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8795906183614,0.7461971770107884,0.9880478087649402,0.0,3.0,7.622222222222223,2.5407407407407407,0.7429344058036804,0.5216469168663025,-0.22128742933273315,1.3751408811478398,1.8423068789740675,2.4422358056375137,1.0,0.42606601119041443,0.2518980464401212,0.0703851261620186,1.0,0.6666666666666666,0.3333333333333333,0.9224539107482387,0.8124712072654676,0.9893758300132802,0.0,2.6666666666666665,7.233333333333333,2.7125000000000004,0.8560718894004822,0.5148911476135254,-0.3411807119846344,2.747444516763072,4.536107737035042,2.5639440416901684,0
ArrowHead,timecnn,cels,12,12,1.0,38.70977932632377,464.51735191588523,0.08333333333333333,0.00935210008174181,0.6112611320781963,0.050796812749003974,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6104066025836257,0.47672300845906723,0.9492031872509962,0.0,12.75,1.0,0.0784313725490196,0.6800445914268494,0.6522616744041443,-0.027782896533608437,1.06386658986761,1.4168808123317986,38.70977932632377,0.3333333333333333,0.03740840032696724,0.6934692016074937,0.035856573705179286,1.0,1.0,1.0,0.5358865884219054,0.419510445641825,0.9641434262948207,0.0,9.0,1.0,0.1111111111111111,0.511457622051239,0.49088254570961,-0.02057502605021,1.0234434408141309,1.1083083180832842,37.64419329166412,0.0,0.0,0.5891469079255629,0.055776892430278883,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6403000252018212,0.4795489562052955,0.9442231075697212,0.0,14.0,1.0,0.07142857142857142,0.6097144484519958,0.5725347995758057,-0.0371796078979969,1.0237044078592947,1.1717687221926905,39.67873969431579,0.0,0.0,0.549315955662723,0.05577689243027889,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6265840825352099,0.49160924637403464,0.9442231075697212,0.0,14.0,1.0,0.07142857142857142,0.7429344058036804,0.6979888081550598,-0.04494553804397583,0.9808137036428409,0.9450053617796614,40.50146041666934,0.0,0.0,0.6131124631170056,0.05577689243027889,1.0,0.6666666666666666,1.0,0.645715371838504,0.5222382539983683,0.9442231075697212,0.0,14.0,1.0,0.07142857142857142,0.8560718894004822,0.8476405143737793,-0.00843137502670288,1.030303691431421,1.5421058617491608,37.014723902645834,0
ArrowHead,timecnn,glacier_uniform,12,12,1.0,17.091453100821433,205.0974372098572,0.5,0.041313882917165756,0.7651291001023095,0.9734395750332006,0.9166666666666666,0.6666666666666666,1.0,0.05696560940481276,0.05149278220584305,0.9794156706507304,0.0,5.166666666666667,105.21944444444443,20.36505376344086,0.6925365328788757,0.5976438522338867,-0.09489262104034424,1.1392139484104462,1.0812541196987158,17.09145310082143,1.0,0.02269916795194149,0.8531319666855693,0.9389110225763613,0.6666666666666666,0.3333333333333333,1.0,0.018801369467061853,0.018322521902685924,0.949535192563081,0.0,12.666666666666666,46.166666666666664,3.6447368421052633,0.5171599984169006,0.5015479922294617,-0.015612006187438965,1.0028060896116302,1.012517321664524,8.802796250306224,1.0,0.14255636930465698,0.7458359017219299,0.9867197875166003,1.0,0.6666666666666666,1.0,0.06030602401746181,0.05561439032349093,0.9907038512616202,0.0,2.3333333333333335,144.83333333333334,62.07142857142857,0.5992538332939148,0.5031838417053223,-0.09606995433568954,1.0135201152264548,1.0305211576261761,12.81854251397696,0.0,0.0,0.7539589526391836,0.9840637450199203,1.0,1.0,1.0,0.10113385281297861,0.0848700523512896,0.9893758300132802,0.0,2.6666666666666665,140.6,52.725,0.7571239471435547,0.5671231150627136,-0.19000083208084106,1.0456940967973252,1.0407439081242211,23.23290695834051,0.0,0.0,0.707589579362555,0.9840637450199203,1.0,0.6666666666666666,1.0,0.0918341600621431,0.08129400710120709,0.9880478087649402,0.0,3.0,89.27777777777777,29.759259259259256,0.8966081738471985,0.8187205791473389,-0.07788761705160141,1.0391762798037092,0.9994281332603072,23.511566680662025,0
CBF,timecnn,ng_blend_dtw,12,12,1.0,3.052252337016398,36.62702804419678,0.9166666666666666,0.48495373129844666,0.32010561124515485,1.0,1.0,0.9166666666666666,1.0,0.9406950167217593,0.7922760406906495,0.9921875,0.0,1.0,128.0,128.0,0.8531927466392517,0.6327345967292786,-0.22045816481113434,1.0900787361255175,1.1550482005477711,3.052252337016398,1.0,0.3994775712490082,0.35460825828073433,1.0,1.0,0.6666666666666666,1.0,0.9337463778570286,0.7475685642865538,0.9921875,0.0,1.0,128.0,128.0,0.6285656094551086,0.6880385279655457,0.05947289988398552,1.0900787361255175,1.0328121080697137,1.692568430987497,1.0,0.47734400629997253,0.3175601629803005,1.0,1.0,1.0,1.0,0.9540435982546112,0.8016448798316815,0.9921875,0.0,1.0,128.0,128.0,0.8649777770042419,0.5663137435913086,-0.29866400361061096,1.0791036362594966,0.9646562550889766,1.5973652086686343,0.6666666666666666,0.4093605577945709,0.2970124755716013,1.0,1.0,1.0,1.0,0.9314981977991427,0.8334126357228422,0.9921875,0.0,1.0,128.0,128.0,0.9484195709228516,0.60420161485672,-0.3442179262638092,1.0477871884118706,0.9557265798138332,6.725630139039519,1.0,0.653632640838623,0.3112415481479834,1.0,1.0,1.0,1.0,0.9436614257996663,0.788883651162569,0.9921875,0.0,1.0,128.0,128.0,0.9708080291748047,0.6723844408988953,-0.2984236180782318,0.8515323774857899,1.0006183236466484,2.193445569369942,0
CBF,timecnn,comte_dtw,12,12,1.0,0.4910617777495645,5.892741332994774,1.0,0.6069484353065491,0.16725184037254906,1.0,1.0,1.0,1.0,0.9702567948103367,0.8788341613940163,0.9921875,0.0,1.0,128.0,128.0,0.8531927466392517,0.7471233010292053,-0.10606946796178818,1.1210688462223573,0.9580224948680454,0.4910617777495645,1.0,0.4934714734554291,0.17002368576771545,1.0,1.0,1.0,1.0,0.9679332993564651,0.8629193561957315,0.9921875,0.0,1.0,128.0,128.0,0.6285656094551086,0.8611817955970764,0.23261617124080658,1.0092554537204437,0.8299256592503409,0.5062901109922677,1.0,0.6408377289772034,0.16887473611923473,1.0,1.0,1.0,1.0,0.9721913280417694,0.8849526166102255,0.9921875,0.0,1.0,128.0,128.0,0.8649777770042419,0.7615583539009094,-0.10341938585042953,0.8348550265477969,0.7995998327634921,0.442941305693239,1.0,0.6368514895439148,0.16043086261737927,1.0,1.0,1.0,1.0,0.9732678380830619,0.8832781670076255,0.9921875,0.0,1.0,128.0,128.0,0.9484195709228516,0.6828765869140625,-0.2655429244041443,0.706060149545811,0.711772978879302,0.5370756249952441,1.0,0.6566331386566162,0.16967807698586682,1.0,1.0,1.0,1.0,0.9676476033861047,0.8843822072616001,0.9921875,0.0,1.0,128.0,128.0,0.9708080291748047,0.6828765869140625,-0.2879313826560974,0.7404676698235014,0.6834132569677933,0.47794006931750727,0
CBF,timecnn,sets,12,12,1.0,0.8436137084984999,10.123364501982,1.0,0.5694653391838074,0.22973393300694858,0.4140625,1.0,0.3333333333333333,1.0,0.8996283206662891,0.7183914342365068,0.9921875,0.0,1.0,53.0,53.0,0.8531927466392517,0.706556499004364,-0.14663632214069366,1.5326055765266897,1.4527284570388903,0.8436137084984997,1.0,0.17179149389266968,0.2354783397291235,0.3984375,1.0,0.3333333333333333,1.0,0.934511729533202,0.804614904593901,0.9921875,0.0,1.0,51.0,51.0,0.6285656094551086,0.5395018458366394,-0.08906380087137222,2.0426174265012644,1.5223467292729576,1.0380248753742005,1.0,0.5399945378303528,0.24276604339232885,0.3645833333333333,1.0,0.3333333333333333,1.0,0.9603529375376131,0.8556351554817426,0.9921875,0.0,1.0,46.666666666666664,46.666666666666664,0.8649777770042419,0.6607151031494141,-0.2042626142501831,1.112976966231559,1.4527284570388903,0.5684687639586627,1.0,0.6645968556404114,0.2212763801530765,0.4244791666666667,1.0,0.0,1.0,0.8890215038705938,0.7237468354721013,0.9921875,0.0,1.0,54.333333333333336,54.333333333333336,0.9484195709228516,0.6982868313789368,-0.25013267993927,1.341254238840122,1.0808813165932982,1.022782583682177,1.0,0.9014784693717957,0.2194149687532656,0.46875,1.0,0.6666666666666666,1.0,0.8760600802877695,0.6493706508376598,0.9921875,0.0,1.0,60.0,60.0,0.9708080291748047,0.9277219772338867,-0.04308607056736946,1.1797155630023994,1.105710877282118,0.7451786109789585,0
CBF,timecnn,tsevo_authentic,12,12,1.0,2.6267843994040345,31.521412792848412,1.0,0.4013122022151947,0.4126953409298751,0.07877604166666667,1.0,0.6666666666666666,1.0,0.7807508404081963,0.6125282032603642,0.98828125,0.0,1.5,7.333333333333333,4.888888888888888,0.8531927466392517,0.5414870381355286,-0.31170570850372314,1.1130539458357145,1.1438736234678892,2.6267843994040354,1.0,0.16030119359493256,0.5850843431934484,0.036458333333333336,1.0,0.6666666666666666,1.0,0.6217241100757088,0.4707240215902983,0.9921875,0.0,1.0,4.666666666666667,4.666666666666667,0.6285656094551086,0.5280115604400635,-0.10055410861968994,1.0175129745375604,1.0056691265738344,2.5343528470257297,1.0,0.3854880630970001,0.39402067521565326,0.0703125,1.0,1.0,1.0,0.8456593216150716,0.6639678115711104,0.984375,0.0,2.0,4.666666666666667,2.3333333333333335,0.8649777770042419,0.5062086582183838,-0.35876908898353577,1.0591336223748693,1.0225492002987455,2.4974554863292724,1.0,0.482896089553833,0.376255985486605,0.1015625,1.0,0.6666666666666666,1.0,0.8058079539691666,0.62115532550696,0.9895833333333334,0.0,1.3333333333333333,11.666666666666666,8.75,0.9484195709228516,0.5289211869239807,-0.4194983243942261,1.0758726457533423,0.9997373262891879,2.4709220139387376,1.0,0.5765633583068848,0.2954203598237937,0.10677083333333333,1.0,0.3333333333333333,1.0,0.8770515932640948,0.7250880712980806,0.9869791666666666,0.0,1.6666666666666667,8.333333333333334,5.0,0.9708080291748047,0.602806806564331,-0.36800119280815125,1.0610205237967039,1.0750570224817833,3.0044072503224015,0
