Model,Dataset,Test F1
timecnn,Lightning7,64.62%
timecnn,CBF,92.56%
timecnn,Chinatown,94.35%
timecnn,ECG200,80.22%
timecnn,ArrowHead,70.09%
tsf,Lightning7,74.28%
tsf,CBF,98.89%
tsf,Chinatown,97.13%
tsf,ECG200,86.43%
tsf,ArrowHead,70.67%
rocket,Lightning7,79.37%
rocket,CBF,99.97%
rocket,Chinatown,97.84%
rocket,ECG200,91.21%
rocket,ArrowHead,78.75%
rdst,Lightning7,74.15%
rdst,CBF,99.22%
rdst,Chinatown,97.13%
rdst,ECG200,87.66%
rdst,ArrowHead,81.17%
tsfresh_lr,Lightning7,73.69%
tsfresh_lr,CBF,97.68%
tsfresh_lr,Chinatown,92.33%
tsfresh_lr,ECG200,82.17%
tsfresh_lr,ArrowHead,69.10%
